Team,Dim1_Heritage,Dim2_Domination,Dim3_Hero,Dim4_Pragmatic,Dim5_Control,Dim6_Resilience,Dim7_Physical,Dim8_Adaptive
Mexico,65.2,6.9,40.5,18.6,31.8,57.1,34.5,42.9
South Korea,51.4,96.6,2.7,0.0,65.9,96.4,18.3,45.7
South Africa,36.4,72.4,10.8,30.2,9.1,60.7,23.7,60.0
Czech Republic,37.9,44.8,27.0,7.0,0.0,75.0,20.5,40.0
Canada,34.9,48.3,73.0,4.7,18.2,35.7,34.4,80.0
Switzerland,51.1,48.3,24.3,44.2,20.5,57.1,33.4,68.6
Qatar,40.4,65.5,54.1,20.9,56.8,21.4,32.8,71.4
Bosnia and Herzegovina,27.8,55.2,56.8,32.6,31.8,10.7,100.0,14.3
Brazil,100.0,6.9,40.5,32.6,54.5,96.4,33.8,71.4
Morocco,58.7,82.8,5.4,62.8,47.7,35.7,33.4,34.3
Scotland,37.5,55.2,37.8,44.2,0.0,57.1,34.7,40.0
Haiti,15.2,37.9,32.4,18.6,2.3,85.7,90.4,20.0
United States,57.4,31.0,2.7,60.5,59.1,42.9,33.9,25.7
Australia,52.5,20.7,24.3,14.0,36.4,39.3,33.5,0.0
Paraguay,50.0,65.5,2.7,51.2,0.0,50.0,34.3,74.3
Turkey,45.5,96.6,32.4,32.6,63.6,60.7,33.9,54.3
Germany,94.1,10.3,62.2,25.6,43.2,50.0,33.4,22.9
Ecuador,43.0,100.0,62.2,20.9,2.3,7.1,34.9,68.6
Ivory Coast,40.8,20.7,100.0,32.6,45.5,100.0,70.0,68.6
Curaçao,0.0,100.0,37.8,37.2,65.9,3.6,60.0,31.4
Netherlands,82.8,37.9,0.0,14.0,43.2,35.7,33.8,5.7
Japan,65.2,65.5,16.2,32.6,9.1,28.6,33.2,54.3
Tunisia,46.5,82.8,54.1,4.7,54.5,78.6,34.4,62.9
Sweden,52.5,41.4,27.0,16.3,50.0,100.0,34.5,20.0
Belgium,67.8,27.6,16.2,48.8,31.8,53.6,33.0,51.4
Iran,55.2,44.8,5.4,51.2,2.3,17.9,33.5,57.1
Egypt,53.0,69.0,40.5,30.2,45.5,100.0,33.8,40.0
New Zealand,38.4,3.4,0.0,74.4,36.4,78.6,20.0,42.9
Spain,93.8,96.6,64.9,62.8,27.3,60.7,32.9,62.9
Uruguay,88.4,17.2,54.1,51.2,63.6,60.7,34.1,42.9
Saudi Arabia,51.0,96.6,70.3,58.1,45.5,3.6,33.7,74.3
Cape Verde,23.2,86.2,75.7,4.7,6.8,71.4,0.0,100.0
France,98.4,41.4,56.8,55.8,15.9,82.1,33.4,11.4
Senegal,54.5,75.9,51.4,51.2,31.8,53.6,34.0,80.0
Norway,34.8,34.5,86.5,37.2,25.0,7.1,100.0,20.0
Iraq,34.3,3.4,64.9,44.2,45.5,50.0,100.0,28.6
Argentina,99.4,17.2,2.7,20.9,13.6,39.3,33.7,0.0
Austria,46.4,86.2,40.5,60.5,2.3,67.9,33.9,57.1
Algeria,46.9,3.4,45.9,9.3,18.2,42.9,33.6,62.9
Jordan,24.2,86.2,64.9,100.0,31.8,64.3,100.0,80.0
Portugal,80.2,65.5,0.0,48.8,54.5,17.9,33.3,48.6
Colombia,56.7,0.0,56.8,23.3,63.6,0.0,33.8,68.6
Uzbekistan,26.8,37.9,75.7,4.7,100.0,57.1,100.0,68.6
Congo DR,37.4,72.4,48.6,34.9,29.5,21.4,34.1,62.9
England,89.0,69.0,78.4,11.6,34.1,25.0,33.2,48.6
Croatia,73.7,65.5,18.9,7.0,56.8,67.9,33.3,5.7
Panama,28.8,96.6,64.9,55.8,38.6,67.9,33.7,60.0
Ghana,53.5,100.0,73.0,25.6,61.4,75.0,4.2,2.9
