Team,Dim1_Heritage,Dim2_Domination,Dim3_Hero,Dim4_Pragmatic,Dim5_Control,Dim6_Resilience,Dim7_Physical,Dim8_Adaptive
Mexico,75.0,40.0,50.0,30.0,45.0,57.1,35.0,70.0
South Korea,51.4,70.0,60.0,40.0,40.0,85.0,40.0,45.7
South Africa,36.4,60.0,35.0,40.0,35.0,50.0,35.0,60.0
Czech Republic,40.0,50.0,35.0,30.0,35.0,65.0,40.0,45.0
Canada,35.0,50.0,75.0,30.0,35.0,45.0,45.0,75.0
Switzerland,51.1,48.3,35.0,44.2,40.0,57.1,35.0,68.6
Qatar,40.4,65.5,54.1,35.0,56.8,35.0,35.0,71.4
Bosnia and Herzegovina,40.0,55.2,56.8,40.0,40.0,35.0,85.0,35.0
Brazil,85.0,70.0,75.0,35.0,65.0,45.0,40.0,80.0
Morocco,58.7,82.8,35.0,62.8,47.7,40.0,35.0,45.0
Scotland,45.0,40.0,35.0,70.0,30.0,80.0,85.0,35.0
Haiti,35.0,45.0,40.0,40.0,35.0,75.0,80.0,45.0
United States,35.0,40.0,35.0,80.0,40.0,70.0,85.0,35.0
Australia,52.5,35.0,35.0,50.0,40.0,39.3,80.0,35.0
Paraguay,40.0,50.0,30.0,65.0,35.0,85.0,80.0,40.0
Turkey,45.5,80.0,45.0,35.0,63.6,60.7,40.0,54.3
Germany,90.0,35.0,62.2,35.0,65.0,60.0,50.0,35.0
Ecuador,45.0,75.0,65.0,40.0,35.0,40.0,50.0,70.0
Ivory Coast,40.8,35.0,90.0,40.0,45.5,85.0,70.0,68.6
Curaçao,35.0,85.0,45.0,45.0,65.9,35.0,60.0,40.0
Netherlands,85.0,70.0,40.0,35.0,80.0,45.0,50.0,85.0
Japan,65.2,50.0,35.0,35.0,85.0,65.0,30.0,85.0
Tunisia,46.5,82.8,54.1,35.0,54.5,78.6,40.0,62.9
Sweden,50.0,45.0,40.0,35.0,45.0,85.0,50.0,40.0
Belgium,67.8,60.0,85.0,30.0,75.0,35.0,40.0,51.4
Iran,40.0,30.0,35.0,85.0,30.0,90.0,50.0,30.0
Egypt,53.0,69.0,45.0,40.0,45.5,85.0,40.0,45.0
New Zealand,38.4,35.0,35.0,74.4,40.0,78.6,35.0,42.9
Spain,90.0,85.0,45.0,30.0,90.0,60.0,35.0,65.0
Uruguay,85.0,30.0,54.1,80.0,35.0,90.0,85.0,42.9
Saudi Arabia,51.0,85.0,70.3,58.1,45.5,35.0,40.0,74.3
Cape Verde,40.0,75.0,65.0,40.0,40.0,60.0,45.0,85.0
France,90.0,45.0,85.0,75.0,35.0,75.0,80.0,45.0
Senegal,35.0,75.0,51.4,51.2,35.0,80.0,85.0,80.0
Norway,45.0,45.0,80.0,45.0,40.0,35.0,85.0,35.0
Iraq,40.0,35.0,64.9,45.0,45.5,50.0,85.0,40.0
Argentina,90.0,60.0,95.0,40.0,70.0,85.0,35.0,60.0
Austria,35.0,85.0,35.0,55.0,35.0,60.0,75.0,60.0
Algeria,40.0,30.0,55.0,35.0,35.0,55.0,40.0,60.0
Jordan,35.0,45.0,50.0,90.0,30.0,75.0,65.0,70.0
Portugal,80.2,65.5,90.0,48.8,54.5,35.0,35.0,48.6
Colombia,60.0,65.0,75.0,35.0,45.0,40.0,45.0,65.0
Uzbekistan,35.0,45.0,75.7,35.0,85.0,57.1,85.0,68.6
Congo DR,40.0,72.4,48.6,40.0,40.0,40.0,45.0,62.9
England,89.0,69.0,78.4,30.0,40.0,40.0,50.0,48.6
Croatia,73.7,50.0,45.0,35.0,85.0,90.0,45.0,45.0
Panama,40.0,85.0,64.9,55.8,45.0,67.9,40.0,60.0
Ghana,53.5,85.0,73.0,40.0,61.4,75.0,45.0,45.0
